23597 83108
67067 36505
50000 50000 0
49950 50026 1
49900 50052 2
49850 50078 3
49800 50104 4
49750 50130 5
49700 50156 6
49650 50182 7
49600 50208 8
49550 50234 9
49500 50260 10
49450 50286 11
49400 50312 12
49350 50338 13
49300 50364 14
49250 50390 15
49200 50416 16
49150 50442 17
49100 50468 18
49050 50494 19
49000 50520 20
48950 50546 21
48900 50572 22
48850 50598 23
48800 50624 24
48750 50650 25
48700 50676 26
48650 50702 27
48600 50728 28
48550 50754 29
48500 50780 30
48450 50806 31
48400 50832 32
48350 50858 33
48300 50884 34
48250 50910 35
48200 50936 36
48150 50962 37
48100 50988 38
48050 51014 39
48000 51040 40
47950 51066 41
47900 51092 42
47850 51118 43
47800 51144 44
47750 51170 45
47700 51196 46
47650 51222 47
47600 51248 48
47550 51274 49
47500 51300 50
47450 51326 51
47400 51352 52
47350 51378 53
47300 51404 54
47250 51430 55
47200 51456 56
47150 51482 57
47100 51508 58
47050 51534 59
47000 51560 60
46950 51586 61
46900 51612 62
46850 51638 63
46800 51664 64
46750 51690 65
46700 51716 66
46650 51742 67
46600 51768 68
46550 51794 69
46500 51820 70
46450 51846 71
46400 51872 72
46350 51898 73
46300 51924 74
46250 51950 75
46200 51976 76
46150 52002 77
46100 52028 78
46050 52054 79
46000 52080 80
45950 52106 81
45900 52132 82
45850 52158 83
45800 52184 84
45750 52210 85
45700 52236 86
45650 52262 87
45600 52288 88
45550 52314 89
45500 52340 90
45450 52366 91
45400 52392 92
45350 52418 93
45300 52444 94
45250 52470 95
45200 52496 96
45150 52522 97
45100 52548 98
45050 52574 99
45000 52600 100
44950 52626 101
44900 52652 102
44850 52678 103
44800 52704 104
44750 52730 105
44700 52756 106
44650 52782 107
44600 52808 108
44550 52834 109
44500 52860 110
44450 52886 111
44400 52912 112
44350 52938 113
44300 52964 114
44250 52990 115
44200 53016 116
44150 53042 117
44100 53068 118
44050 53094 119
44000 53120 120
43950 53146 121
43900 53172 122
43850 53198 123
43800 53224 124
43750 53250 125
43700 53276 126
43650 53302 127
43600 53328 128
43550 53354 129
43500 53380 130
43450 53406 131
43400 53432 132
43350 53458 133
43300 53484 134
43250 53510 135
43200 53536 136
43150 53562 137
43100 53588 138
43050 53614 139
43000 53640 140
42950 53666 141
42900 53692 142
42850 53718 143
42800 53744 144
42750 53770 145
42700 53796 146
42650 53822 147
42600 53848 148
42550 53874 149
42500 53900 150
42450 53926 151
42400 53952 152
42350 53978 153
42300 54004 154
42250 54030 155
42200 54056 156
42150 54082 157
42100 54108 158
42050 54134 159
42000 54160 160
41950 54186 161
41900 54212 162
41850 54238 163
41800 54264 164
41750 54290 165
41700 54316 166
41650 54342 167
41600 54368 168
